Round,APayout1,AProbability1,APayout2,AProbability2,BPayout1,BProbability1,BPayout2,BProbability2,ExpectedPayoutA,ExpectedPayoutB,RelativePayoutA
1,20,0.1,16,0.9,38.5,0.1,1,0.9,16.4,4.75,11.65
2,20,0.2,16,0.8,38.5,0.2,1,0.8,16.8,8.5,8.3
3,20,0.3,16,0.7,38.5,0.3,1,0.7,17.2,12.25,4.95
4,20,0.4,16,0.6,38.5,0.4,1,0.6,17.6,16,1.6
5,20,0.5,16,0.5,38.5,0.5,1,0.5,18,19.75,-1.75
6,20,0.6,16,0.4,38.5,0.6,1,0.4,18.4,23.5,-5.1
7,20,0.7,16,0.3,38.5,0.7,1,0.3,18.8,27.25,-8.45
8,20,0.8,16,0.2,38.5,0.8,1,0.2,19.2,31,-11.8
9,20,0.9,16,0.1,38.5,0.9,1,0.1,19.6,34.75,-15.15
10,20,1,16,0,38.5,1,1,0,20,38.5,-18.5